"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_total_stolen_base","r_run","r_stolen_base_pct","woba","bacon","xbacon","xbadiff","xslgdiff","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","hard_hit_percent","meatball_percent","whiff_percent","swing_percent","batted_ball"
"Pujols, Albert","405395","2022","42","307","351","83","45","14","0","24","55","28",15.7,8,".270",".550",".345","0.895","68","1","42",,".380",".322",".320",".008",".051","91.2","16.4",34.5,"31",12,7,47.3,6.7,21.3,48.2,"258"
"Cabrera, Miguel","408234","2022","39","397","433","101","86","10","0","5","101","28",23.3,6.5,".254",".317",".305","0.622","43","1","25",,".275",".336",".314",".020","-0.014","89.9","5",35.2,"14",4.7,3.7,38.2,7.1,27,50.2,"301"
"Molina, Yadier","425877","2022","39","262","270","56","43","8","0","5","40","5",14.8,1.9,".214",".302",".233","0.535","24","2","19",,".235",".251",".272","-0.016","-0.026","84.7","16.9",34.1,"7",3.1,4.9,26,7.1,22,58.6,"223"
"Canó, Robinson","429664","2022","39","100","104","15","13","1","0","1","25","4",24,3.8,".150",".190",".183","0.373","4","0","5",,".169",".200",".279","-0.059","-0.109","88.2","5.8",29.3,"3",4,4,41.3,6.5,24.9,56.8,"75"
"Suzuki, Kurt","435559","2022","38","139","159","25","17","4","0","4","29","15",18.2,9.4,".180",".295",".266","0.561","15","0","10",,".254",".223",".238","-0.011",".014","85.2","24.1",31,"4",3.5,7.1,26.5,10.6,21.1,48.1,"113"
"Cruz Jr., Nelson","443558","2022","41","448","507","105","79","16","0","10","119","49",23.5,9.7,".234",".337",".313","0.650","64","4","50",,".292",".316",".331","-0.007","-0.062","90.9","7.2",28,"31",9.3,4.5,46.1,6,32,50.8,"332"
"Peralta, David","444482","2022","34","439","490","110","65","30","3","12","114","41",23.3,8.4,".251",".415",".316","0.731","59","1","39",,".315",".332",".335",".002",".016","90.3","15.1",35,"28",8.5,9.1,44.4,7,26.2,50.4,"331"
"Piña, Manny","444489","2022","35","14","17","2","2","0","0","0","1","1",5.9,5.9,".143",".143",".235","0.378","2","0","1",,".187",".143",".200","-0.049","-0.262","81.9","9",14.3,"1",7.1,0,21.4,0,13.8,44.6,"14"
"Escobar, Alcides","444876","2022","35","124","131","27","21","4","2","0","32","5",24.4,3.8,".218",".282",".260","0.542","8","1","12",,".242",".293",".283",".008",".018","81.8","15.7",39.1,"1",1.1,1.1,17.4,5.3,21.3,54.3,"92"
"Longoria, Evan","446334","2022","36","266","298","65","38","13","0","14","83","27",27.9,9.1,".244",".451",".315","0.766","42","0","31",,".330",".349",".339",".011",".014","91.1","18.2",33.3,"23",12.4,10.2,46.8,7.2,29.4,44.4,"186"
"Blackmon, Charlie","453568","2022","35","530","577","140","96","22","6","16","109","32",18.9,5.5,".264",".419",".314","0.733","78","4","60",,".317",".330",".322",".008",".043","86.2","12.4",36.7,"19",4.4,4,30.6,7.8,21.4,51.5,"428"
"Maldonado, Martín","455117","2022","35","344","379","64","37","12","0","15","116","22",30.6,5.8,".186",".352",".248","0.600","45","0","40",,".264",".278",".273",".005",".027","88.4","14.7",31.6,"19",8.1,6,40.2,7.1,32.2,49.9,"234"
"Chirinos, Robinson","455139","2022","38","195","220","35","22","9","0","4","67","19",30.5,8.6,".179",".287",".265","0.552","22","1","10",,".251",".271",".255",".011",".006","84.8","17.6",30.8,"9",6.9,5.4,33.1,4.9,33.3,50.3,"130"
"Cain, Lorenzo","456715","2022","36","145","156","26","20","5","0","1","36","8",23.1,5.1,".179",".234",".231","0.465","9","2","17",,".212",".236",".264","-0.021","-0.019","87.9","3.8",21.8,"0",0,8.2,36.4,6.6,25.8,53,"110"
"Solano, Donovan","456781","2022","34","278","304","79","59","16","0","4","61","19",20.1,6.3,".284",".385",".339","0.724","24","0","22",,".319",".361",".342",".016","-0.008","88.3","10.7",36.1,"13",5.9,6.8,41.2,7.7,20.9,49.5,"219"
"McCutchen, Andrew","457705","2022","35","515","580","122","80","25","0","17","124","57",21.4,9.8,".237",".384",".316","0.700","69","8","66",,".309",".309",".329","-0.015","-0.022","89.1","13.2",36.2,"34",8.6,5.8,40,8.2,24.2,44.9,"395"
"Upton, Justin","457708","2022","34","48","57","6","4","1","0","1","23","6",40.4,10.5,".125",".208",".263","0.471","3","0","2",,".231",".240",".308","-0.032","-0.010","88.5","26.5",36,"1",4,0,32,4.8,37.5,45.4,"25"
