"last_name, first_name","player_id","year","pa","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","r_total_stolen_base","b_swinging_strike","r_run","r_stolen_base_pct","xba","xslg","woba","xwoba","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","batted_ball"
"Carroll, Corbin","682998","2023","645","161","96","30","10","25",19.4,8.8,".285",".506",".362","0.868","54","195","116",,".268",".441",".370",".344",".348","90","11",32.7,"34",7.6,40.9,"100.972563211","94.780604736",21.5,45.8,"450"
"Walker, Christian","572233","2023","661","150","79","36","2","33",19.2,9.4,".258",".497",".333","0.830","11","304","86",,".251",".460",".351",".339",".329","88","15.8",32.6,"53",11.4,40.4,"100.601281422","94.397470475",26.4,48.6,"463"
"Winker, Jesse","608385","2023","197","33","27","5","0","1",25.9,13.2,".199",".247",".320","0.567","0","71","16",,".204",".296",".269",".287",".325","86.8","13.6",33.6,"5",4.3,31.9,"97.510447586","92.771752672",25.1,42.6,"116"
"Grisham, Trent","663757","2023","555","93","48","31","1","13",27.7,13.5,".198",".352",".315","0.667","15","223","67",,".218",".396",".299",".322",".332","90.3","18.3",32.8,"38",11.9,40,"100.701927386","94.880503967",28.3,41.6,"320"
"Cooper, Garrett","643265","2023","457","106","70","18","1","17",28.9,6.8,".251",".419",".304","0.723","0","248","42",,".252",".430",".313",".318",".306","89","13.3",40.4,"30",10.3,41.1,"100.493592808","94.333162534",30.7,52.4,"292"
"Hoerner, Nico","663538","2023","688","175","135","27","4","9",12.1,7.1,".283",".383",".346","0.729","43","118","98",,".273",".356",".322",".311",".339","86.6","10.5",33.2,"10",1.8,33.4,"97.320472852","92.695131651",12.4,45.6,"542"
"Bradley Jr., Jackie","598265","2023","113","14","8","5","0","1",25.7,4.4,".133",".210",".188","0.398","0","65","10",,".187",".324",".180",".246",".238","88.1","5.3",23.4,"6",7.8,35.1,"98.833141842","93.611215333",32.6,53.4,"77"
"Wade Jr., LaMonte","664774","2023","519","110","77","14","2","17",18.3,14.6,".256",".417",".373","0.790","2","159","64",,".265",".454",".347",".363",".380","88.4","17.4",33.6,"31",9.1,39.8,"99.530093174","93.945744444",20.7,39.5,"342"
"Varsho, Daulton","662139","2023","581","116","70","23","3","20",23.2,7.7,".220",".389",".285","0.674","16","230","65",,".232",".394",".293",".302",".298","87.8","20.5",34.3,"29",7.3,36.1,"99.853027513","94.005486074",24.5,50.1,"396"
"Bailey, Patrick","672275","2023","353","76","50","18","1","7",28.3,5.9,".233",".359",".285","0.644","1","144","29",,".249",".420",".282",".313",".302","88.7","10.2",36.2,"23",10,38.4,"99.385269825","93.890632907",26.2,46.5,"229"
"Santander, Anthony","623993","2023","656","152","82","41","1","28",23.2,8.4,".257",".472",".325","0.797","5","270","81",,".237",".426",".340",".319",".309","90.6","20.2",33,"45",10.2,46,"101.732013378","95.319994041",23.5,49,"443"
"Smith, Will","669257","2023","554","121","79","21","2","19",16.1,11.4,".261",".438",".359","0.797","3","172","80",,".262",".435",".345",".352",".365","89.3","15.6",37.5,"26",6.7,41.6,"99.645654456","94.001340492",19.5,45.7,"387"
